제공기관명,재활용센터명,재활용센터운영구분,소재지도로명주소,위도,경도
충청북도,괴산광역생활자원회수센터,직영,충청북도 괴산군 괴산읍 능촌로2길70-37,36.8318263505,127.83414199999999
경상북도,영천시 그린환경센터,직영,경상북도 영천시 바깥완산길 433 (완산동),35.9648135072,128.9702937954
경상북도,안동시 재활용품선별장,직영,경상북도 안동시 배고개길 84,36.548657092,128.6716652186
전라남도,진도군재활용선별시설,직영,전라남도 진도군 군내면 한의길 115,34.5306959295,126.2622758903
경상북도,구미시 재활용품 전시판매장,위탁,경상북도 구미시 신시로10길 118,36.114273,128.351282
경상북도,구미시 재활용품 전시판매장,위탁,경상북도 구미시 신시로10길 118,36.114273,128.351282
전라북도,줄포환경센터,직영,전라북도 부안군 줄포면 분탕골로 215-34,35.587074258200005,126.6600256566
경상남도,통영시 재활용품 상설판매장,위탁,경상남도 통영시 동충1길 4(항남동),34.83982251,128.42214170000003
강원도,동해시가전가구재활용센터,위탁,강원도 동해시 봉수로 160,37.57651247,129.10856040000002
서울특별시,목동재활용센터,위탁,서울특별시 양천구 목동서로 262,37.5239435682,126.86911059999998
경상남도,북부재활용센터,위탁,경상남도 양산시 중앙로 109,35.340437,129.0373754908
경상남도,덕계재활용센터,위탁,경상남도 양산시 웅상대로 1038,35.3914538421,129.1586463015
경기도,재활용선별장,위탁,경기도 양주시 은현면 은남로 160,37.89328531,127.0100091
서울특별시,송파구재활용센터,위탁,서울특별시 송파구 문정로246 (마천동),37.499909901,127.14203130860001
서울특별시,구로구 재활용센터,위탁,서울특별시 구로구 새말로48,37.503211,126.88603799999999
전라북도,정읍시 재활용선별장,직영,전라북도 정읍시 영파길 169,35.6142384471,126.8549416486
서울특별시,중구재활용센터,위탁,서울특별시 중구 다산로 174,37.558977692199996,127.0134048849
경기도,안산시재활용센터,위탁,경기도 안산시 단원구 선부광장로 45,37.334924,126.812081
경기도,용인시 재활용센터,위탁,경기도 용인시 처인구 경안천로 288,37.25655776,127.21984450000001
경기도,이동읍 재활용센터,위탁,경기도 용인시 처인구 백옥대로489번길 19-6,37.1815787609,127.2001044782
전라북도,대산매립장 광역재활용품선별시설,직영,전라북도 남원시 대산면 노산하대길 134,35.414057431399996,127.3184415541
충청남도,공주시 재활용센터,직영,충청남도 공주시 봉황로 125,36.4568483374,127.12073519180001
충청북도,자원관리센터,직영,충청북도 증평군 도안면 천광길 125,36.842481,127.633583
경기도,모음과나눔,직영,경기도 가평군 가평읍 가화로 75-1,37.826593,127.51478700000001
서울특별시,중랑구재활용센터,위탁,서울특별시 중랑구 면목로 377,37.5856701,127.0881513
울산광역시,대영기업,위탁,울산광역시 남구 여천로 174,35.5259549,129.352975
광주광역시,재활용선별장,위탁,광주광역시 서구 서창둑길 166(세하동),35.1212223,126.826536
전라남도,강진환경정화센터,직영,,34.623583,126.776748
경상북도,김천시재활용선별장,위탁,경상북도 김천시 공단4길 51-11,36.158511616,128.123453518
울산광역시,울주군 재활용품 선별장,직영,울산광역시 울주군 온산읍 화산로 113-11,35.419460799999996,129.3287862
전라남도,여수시 재활용품선별장,직영,전라남도 여수시 진달래길 310-157(월내동),34.848082299999994,127.7392722
충청남도,천안시 재활용센터,위탁,충청남도 천안시 동남구 천안천6길 59-19,36.820064,127.150724
경기도,과천시 재활용센터,위탁,경기도 과천시 구리안로 177 자원정화센터 내 홍보관 1층,37.4078767,126.99244840000001
경기도,화성그린환경센터 재활용선별시설,위탁,경기도 화성시 봉담읍 하가등안길 100,37.1526679,126.9383801
서울특별시,은평구 재활용센터,위탁,서울특별시 은평구 수색로24길 16,37.59217,126.88425
서울특별시,도봉구재활용센터,직영,서울특별시 도봉구 마들로13길 218,37.65992,127.04539
충청북도,영동군자원순환센터,직영,충청북도 영동군 용산면 남부로 621-39,36.2207185,127.80099779999999
