상호명,지점명,도로명주소,경도,위도
인디스에프앤디할리스커피,광화문점,"서울특별시 중구 세종대로21길 55, (태평로1가)",126.97593149451001,37.5690023567918
빽다방,명동중앙우체국점,"서울특별시 중구 남대문로 58-1, (명동2가)",126.981850842876,37.56242188892
빽다방,광희동사거리점,"서울특별시 중구 마른내로 159-1, (광희동1가)",127.00585005469,37.5647528820446
빽다방,남대문시장점,"서울특별시 중구 퇴계로 37, (남창동)",126.97631380603599,37.558436453144395
빽다방을지로입구역점,을지로입구역점,"서울특별시 중구 남대문로9길 10, (다동)",126.981870598664,37.566792112985894
빽다방태평로점,태평로점,"서울특별시 중구 세종대로 82, (태평로2가)",126.977061007622,37.5633896511335
빽다방,약수역점,"서울특별시 중구 다산로 131, (신당동)",127.010814506672,37.555694030957106
빽다방명동중앙우체,,"서울특별시 중구 남대문로 58-1, (명동2가)",126.981850842876,37.56242188892
폴바셋,코리아나호텔점,"서울특별시 중구 세종대로 135, (태평로1가)",126.976230860644,37.5678065687546
폴바셋,서대문역점,"서울특별시 중구 서소문로9길 41-10, (순화동)",126.968970575166,37.5640130747781
폴바셋롯데본점,2호점,"서울특별시 중구 을지로 30, (소공동)",126.980984894727,37.56533379402771
폴바셋,서소문점,"서울특별시 중구 서소문로 116, (서소문동)",126.973991349748,37.562723274109295
폴바셋롯데본점,롯데본점,"서울특별시 중구 을지로 30, (소공동)",126.980984894727,37.56533379402771
폴바셋한국경제신문사점,한국경제신문사점,"서울특별시 중구 청파로 463, (중림동)",126.967092320858,37.559860876916204
폴바셋신세계본점,신세계본점,"서울특별시 중구 소공로 63, (충무로1가)",126.98096592536301,37.5609095133129
폴바셋,페럼타워점,"서울특별시 중구 을지로5길 19, (수하동)",126.98421165250099,37.566947435712294
폴바셋신세계본점2호점,2호점,"서울특별시 중구 소공로 63, (충무로1가)",126.98096592536301,37.5609095133129
폴바셋신세계백화점본점,2호점,"서울특별시 중구 소공로 63, (충무로1가)",126.98096592536301,37.5609095133129
폴바셋,명동점,"서울특별시 중구 명동7길 13, (명동1가)",126.983952741813,37.564341196302706
폴바셋을지로파인에비뉴점,을지로파인에비뉴점,"서울특별시 중구 을지로 100, (을지로2가)",126.988123320488,37.5656384754121
탐앤탐스커피숍,,"서울특별시 중구 명동8나길 51, (충무로1가)",126.982061630144,37.5610721429038
탐앤탐스,블랙눈스퀘어점,"서울특별시 중구 명동길 14, (명동2가)",126.982867519307,37.563403778068796
탐앤탐스,블랙청계광장점,"서울특별시 중구 청계천로 14, (무교동)",126.978798426338,37.5687839105644
탐앤탐스대한항공서소문점,대한항공서소문점,"서울특별시 중구 서소문로 117, (서소문동)",126.97410423069599,37.5635712342116
탐앤탐스명동중앙우체국점,명동중앙우체국점,"서울특별시 중구 명동8나길 51, (충무로1가)",126.982061630144,37.5610721429038
탐앤탐스,굿모닝시티점,"서울특별시 중구 장충단로 247, (을지로6가)",127.007339777453,37.5667927655946
